O2_1,O2_2,O2_3,O2_4,O2_5,O2_6,O2_7,NH4_1,NH4_2,NH4_3,NH4_4,NH4_5,NH4_6,NH4_7,NO2_1,NO2_2,NO2_3,NO2_4,NO2_5,NO2_6,NO2_7,NO3_1,NO3_2,NO3_3,NO3_4,NO3_5,NO3_6,NO3_7,BOD5_1,BOD5_2,BOD5_3,BOD5_4,BOD5_5,BOD5_6,BOD5_7,O2_mean,O2_std,NH4_mean,NH4_std,NO2_mean,NO2_std,NO3_mean,NO3_std,BOD5_mean,BOD5_std,O2_sum,NH4_sum,NO2_sum,NO3_sum,BOD5_sum,target
3.71,5.42,8.77,9.265,4.55,10.07,7.15,0.02,0.02,0.65,17.144,24.645,0.38,0.44,0.06,0.05,0.082,0.902,2.025,0.056,0.567,1.7,1.7,3.96,4.9,4.58,3.025,3.96,4.935,4.95,4.725,6.075,6.75,3.5,3.17,6.990714285714285,2.4843819294602376,6.1855714285714285,10.281253196265244,0.5345714285714286,0.736128579607045,3.4035714285714285,1.3032098650566426,4.872142857142856,1.2770371214353204,48.934999999999995,43.299,3.742,23.825,34.105,Low
8.05,8.65,7.96,9.265,3.29,10.07,7.15,0.36,0.435,0.65,3.85,5.845,0.28,0.44,0.105,0.115,0.074,1.252,1.075,0.071,0.19,1.05,1.15,2.095,3.902,2.02,1.73,0.76,4.8,4.97,3.95,2.8,8.4,3.5,3.9,7.776428571428572,2.193491726079894,1.6942857142857142,2.2325479251508216,0.41171428571428575,0.5175962758385195,1.8152857142857142,1.0506897281128738,4.617142857142857,1.8247074129451943,54.435,11.86,2.882,12.706999999999999,32.32,Low
9.0,9.0,11.475,9.115,8.11,8.98,6.375,0.24,0.245,0.65,3.85,5.845,0.28,0.44,0.05,0.06,0.07,0.22,1.075,0.071,0.064,4.2,1.99,14.67,19.355,20.05,0.19,1.8,2.52,1.72,4.725,6.075,8.4,2.155,4.4,8.865,1.5107613974417007,1.65,2.263520488089295,0.23,0.3772404184778366,8.893571428571429,8.784781686855643,4.284999999999999,2.4005381341135434,62.05500000000001,11.549999999999999,1.61,62.254999999999995,29.994999999999997,Low
7.35,8.1,9.545,9.115,6.025,8.98,7.15,0.3,0.3,1.64,3.85,5.845,0.28,0.44,0.07,0.105,0.134,0.22,1.075,0.056,0.567,1.555,1.62,2.095,19.355,2.02,0.636,8.32,4.7,3.97,3.95,3.3,8.4,3.5,3.7,8.037857142857142,1.267296522598589,1.8078571428571426,2.2079286241914184,0.31814285714285717,0.37727683406725293,5.085857142857143,6.790841514583481,4.502857142857143,1.775450311758628,56.26499999999999,12.654999999999998,2.2270000000000003,35.601,31.52,Low
6.4,8.4,8.37,7.89,5.075,10.07,5.03,0.24,0.2,0.65,2.8,12.175,0.38,0.429,0.03,0.006,0.064,0.22,1.075,0.056,0.071,1.6,1.3,12.09,7.45,7.795,6.76,8.32,3.5,4.5,7.9,6.075,8.4,5.725,7.5,7.319285714285715,1.8835614063333774,2.4105714285714286,4.401575167185148,0.21742857142857144,0.38434093248176465,6.473571428571428,3.8352039431709866,6.228571428571429,1.8182196289358499,51.23500000000001,16.874,1.522,45.315,43.6,Low
7.4,8.4,9.545,7.6,4.0,9.805,5.03,0.14,0.2,1.64,4.28,18.3,0.28,0.429,0.06,0.07,0.208,0.66,0.746,0.056,0.567,0.09,0.12,3.96,4.9,4.58,3.02,3.02,8.6,6.7,4.725,8.4,8.415,6.625,4.14,7.397142857142858,2.1833419665405467,3.6098571428571433,6.645832790267182,0.33814285714285713,0.3077122186781174,2.812857142857143,1.9809990264654707,6.800714285714285,1.817969170465194,51.78,25.269000000000002,2.367,19.69,47.605,High
8.1,8.3,9.265,7.695,9.265,10.09,7.695,0.425,0.4,0.65,3.8,24.45,0.38,0.429,0.058,0.05,0.082,0.95,0.567,0.056,0.191,1.235,1.325,2.025,6.025,14.775,0.73,0.76,4.5,4.2,4.725,5.2,6.025,4.45,4.2,8.63,0.9198097629401418,4.362,8.945620511363835,0.27914285714285714,0.348986355307018,3.8392857142857144,5.162564308373818,4.757142857142857,0.6564923022070731,60.410000000000004,30.534,1.954,26.875,33.3,Low
11.367,8.6,10.44,6.48,1.23,10.44,5.67,0.49,0.493,0.65,3.96,24.32,0.44,0.294,0.103,0.2,0.011,0.805,0.746,0.051,0.037,1.2,1.2,2.02,3.87,3.66,1.73,1.73,2.6,2.4,2.4,5.8,7.75,2.23,2.84,7.746714285714285,3.5760083293287463,4.378142857142858,8.889626359387881,0.27899999999999997,0.3450492718438919,2.2014285714285715,1.1101565741135884,3.717142857142857,2.1718249951420603,54.227,30.647000000000002,1.9529999999999998,15.41,26.02,High
9.1,8.1,11.475,9.115,8.11,8.98,6.375,0.41,0.2,1.64,8.625,8.415,0.28,0.429,0.031,0.06,0.064,0.22,1.075,0.071,0.19,1.96,2.025,14.67,19.355,20.05,9.53,7.695,6.575,3.755,2.04,2.8,8.4,2.155,7.37,8.750714285714285,1.538775023006473,2.8569999999999998,3.899270188124952,0.2444285714285714,0.3731857701569274,10.754999999999999,7.528981781533721,4.727857142857142,2.6578419459260196,61.254999999999995,19.999,1.7109999999999999,75.285,33.095,Low
9.1,8.5,9.545,9.115,6.015,8.98,5.03,0.3,0.3,0.65,3.85,5.845,0.28,0.44,0.05,0.06,0.064,0.22,1.075,0.14,0.19,0.09,0.12,0.65,3.87,2.02,1.73,0.76,4.2,3.3,3.95,2.8,8.4,3.5,3.85,8.040714285714287,1.7701304767620676,1.6664285714285714,2.2517450904533916,0.257,0.36687372941290486,1.32,1.3463530988067978,4.285714285714286,1.8723234864988578,56.28500000000001,11.665,1.799,9.24,30.0,Low
